t=2026-02-15T21:35:52+0530 lvl=info msg="no configuration paths supplied"
t=2026-02-15T21:35:52+0530 lvl=info msg="using configuration at default config path" path=/home/siddhartha/.config/ngrok/ngrok.yml
t=2026-02-15T21:35:52+0530 lvl=info msg="open config file" path=/home/siddhartha/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T21:35:52+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-15T21:35:52+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T21:35:53+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T21:35:53+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T21:40:25+0530 lvl=info msg="join connections" obj=join id=45b3e07d57cf l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:25+0530 lvl=info msg="join connections" obj=join id=4a38970e5031 l=127.0.0.1:3000 r=[2409:40f0:6414:828f:ae6b:2157:3b44:667a]:49802
t=2026-02-15T21:40:42+0530 lvl=info msg="join connections" obj=join id=4416a89f2a35 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:42+0530 lvl=info msg="join connections" obj=join id=df3cb90108a8 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:53+0530 lvl=info msg="join connections" obj=join id=ff3f7e127648 l=127.0.0.1:3000 r=43.225.25.134:60076
t=2026-02-15T21:40:58+0530 lvl=info msg="join connections" obj=join id=afe3656320e3 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=9f16f059a819 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=92f70e73a023 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=c63c545e8fa7 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=cd1cba9b42e6 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=de17c862a76c l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=59369d5ce05b l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=9cbaf040965b l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=bd0aace29fd0 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=a483ac441924 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=8ce1351ea2ce l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=0ac6ffdc73ec l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=a25abc4001fd l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=6d7491f21a6b l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=07a8e52d08ee l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=2187c181683a l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=8b747774fda1 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=737afd5dbfff l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=94d32b35f180 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=e1c666c78866 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=7c0badb3f357 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=27cdda828bd0 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
t=2026-02-15T21:40:59+0530 lvl=info msg="join connections" obj=join id=2d2f1f0364a0 l=127.0.0.1:3000 r=[2409:40f0:604f:f37f:612b:582c:dc79:e5cd]:53567
